"id","subject","topic","question","option_a","option_b","option_c","option_d","correct_answer","explanation","year","difficulty","exam_type","tags","status","passage_id","passage_text"
"86","Government","Public Opinion and Pressure Groups","Pressure groups commonly attempt to influence government decisions through methods such as","Armed rebellion as the primary and only strategy","Lobbying, public campaigns, petitions, and sometimes peaceful demonstrations","Direct control of the national budget","Appointing their own members as judges","B","Pressure groups typically use methods such as lobbying government officials, running public awareness campaigns, submitting petitions, and organizing peaceful demonstrations to influence policy","","Medium","Practice","pressure-group-methods","published","",""
"87","Government","Traditional Political Systems","The pre-colonial Hausa-Fulani political system in Northern Nigeria was mainly organized around","A loose, non-centralized system with no recognized central authority","A centralized emirate system, headed by an Emir with defined administrative structures","Direct rule by village assemblies with no hierarchy","A purely democratic voting system for all leaders","B","The Hausa-Fulani political system was highly centralized, organized around emirates headed by an Emir who wielded significant administrative, religious, and political authority","","Medium","Practice","hausa-fulani-system","published","",""
"88","Government","Traditional Political Systems","The pre-colonial Yoruba political system was generally organized around","A completely non-centralized system with no recognized rulers","Centralized kingdoms, each headed by an Oba, supported by a council of chiefs","Direct rule by a single religious leader across all Yoruba areas","A system with no traditional council or chiefs at all","B","Traditional Yoruba political organization was based on centralized kingdoms, each led by an Oba (king), who ruled with the support and advice of a council of chiefs","","Medium","Practice","yoruba-system","published","",""
"89","Government","Traditional Political Systems","The pre-colonial Igbo political system is generally described as","Highly centralized under a single powerful monarch","Largely non-centralized (acephalous), with authority distributed among elders, age grades, and title societies","Organized under a single hereditary emir","Governed entirely by colonial-appointed officials","B","Traditional Igbo political organization was largely non-centralized, or acephalous, with governance authority spread among village elders, age grades, and various title-holding societies rather than a single monarch","","Medium","Practice","igbo-system","published","",""
"90","Government","Traditional Political Systems","In traditional Yoruba political systems, the council of chiefs served mainly to","Have no role in governance whatsoever","Advise, check, and sometimes restrain the powers of the Oba, ensuring a form of shared governance","Replace the Oba entirely in all matters","Serve only ceremonial functions with no real influence","B","The council of chiefs played an important role in advising the Oba and could act as a check on his powers, contributing to a system of shared traditional governance","","Medium","Practice","yoruba-council-of-chiefs","published","",""
"91","Government","Traditional Political Systems","Age grade systems, common in many traditional Igbo communities, functioned mainly to","Exclude young people entirely from community responsibilities","Organize community members of similar age into groups responsible for specific communal duties, such as security and public works","Serve only as social clubs with no governance function","Replace the role of village elders completely","B","Age grade systems organized community members of roughly the same age into functional groups responsible for tasks such as community security, labour projects, and maintaining order","","Medium","Practice","age-grade-system","published","",""
"92","Government","Traditional Political Systems","One notable feature of the Benin Kingdom's traditional political system was","The complete absence of any centralized authority","A highly centralized monarchy headed by the Oba of Benin, supported by palace chiefs and administrative structures","Rule exclusively by a council of equals with no monarch","Governance entirely by external colonial officers","B","The Benin Kingdom had a highly centralized traditional political system headed by the Oba of Benin, supported by an elaborate structure of palace chiefs and administrative officials","","Medium","Practice","benin-kingdom","published","",""
"93","Government","Colonialism and Nationalism","Indirect rule, as practised by the British in colonial Nigeria, involved governing through","Newly created colonial-only administrative structures with no local involvement","Existing traditional rulers and institutions, who implemented colonial policies at the local level under British supervision","Direct administration solely by British-appointed officials with no local rulers involved","A system with no recognition of local rulers whatsoever","B","Indirect rule was a colonial administrative policy in which the British governed through existing traditional rulers and institutions, who carried out colonial policies locally under overall British supervision","","Medium","Practice","indirect-rule","published","",""
"94","Government","Colonialism and Nationalism","Indirect rule was applied with greater ease in Northern Nigeria mainly because the region already had","No traditional rulers at all","A well-established, centralized traditional authority structure, such as the emirate system, that the British could work through","A fully developed unitary political system similar to Britain's","No history of any organized governance","B","Because Northern Nigeria already had a centralized traditional authority system, such as the emirates, the British found it relatively easier to implement indirect rule there compared to less centralized areas","","Medium","Practice","indirect-rule-north","published","",""
"95","Government","Colonialism and Nationalism","Nigerian nationalist movements in the early to mid-20th century mainly emerged in response to","Satisfaction with colonial rule and a desire to maintain it indefinitely","Growing opposition to colonial domination and a demand for self-governance and independence","A request from the colonial government for Nigerians to seek independence","The complete absence of any educated elite in Nigeria","B","Nationalist movements arose largely as organized opposition to colonial rule, driven by growing demands among educated Nigerians and the wider populace for self-governance and eventual independence","","Medium","Practice","nationalist-movements","published","",""
"96","Government","Colonialism and Nationalism","Herbert Macaulay is widely regarded in Nigerian history as","A colonial governor-general","A prominent early Nigerian nationalist, often referred to as the father of Nigerian nationalism","A military head of state","A traditional ruler with no involvement in politics","B","Herbert Macaulay is often called the father of Nigerian nationalism due to his early and prominent role in organizing political opposition to colonial rule","","Medium","Practice","herbert-macaulay","published","",""
"97","Government","Colonialism and Nationalism","The formation of political and nationalist organizations, such as the National Council of Nigeria and the Cameroons (NCNC), mainly aimed to","Support continued colonial administration indefinitely","Mobilize Nigerians toward self-governance and eventual independence from colonial rule","Prevent the eventual creation of political parties","Promote continued British control over Nigerian resources","B","Organizations such as the NCNC were formed to mobilize Nigerians politically, pushing for greater self-governance and, ultimately, full independence from British colonial rule","","Medium","Practice","ncnc","published","",""
"98","Government","Colonialism and Nationalism","One major factor that fuelled the growth of Nigerian nationalism was","Complete satisfaction among Nigerians with colonial economic policies","The spread of Western education, which exposed many Nigerians to ideas of self-determination and political rights","The total absence of any colonial taxation policies","A total lack of contact between Nigeria and other nationalist movements worldwide","B","The spread of Western education exposed many Nigerians to political ideas such as self-determination and rights, contributing significantly to the growth of nationalist sentiment","","Medium","Practice","nationalism-factors","published","",""
"99","Government","International Relations","International relations refers mainly to the study of","Purely domestic policies within a single country","Interactions, relationships, and dealings between different states and international actors","The internal structure of a single country's civil service","Only economic activities within one nation","B","International relations examines the political, economic, and diplomatic interactions among states and other actors on the global stage","","Medium","Practice","international-relations-definition","published","",""
"100","Government","International Relations","The United Nations (UN) was established mainly to","Promote international peace, security, and cooperation among member states","Serve as a single world government with total control over all nations","Replace all national governments with one central authority","Focus exclusively on trade agreements between two countries","A","The United Nations was founded to promote international peace and security and to foster cooperation among its member states on global issues","","Medium","Practice","united-nations","published","",""
"101","Government","International Relations","The African Union (AU), successor to the Organization of African Unity (OAU), aims mainly to promote","Division and conflict among African states","Unity, cooperation, peace, and development among African states","The re-establishment of colonial rule in Africa","Exclusive economic ties with only one continent","B","The African Union works to promote greater unity, cooperation, peace, security, and development among African nations, building on the goals of its predecessor, the OAU","","Medium","Practice","african-union","published","",""
"102","Government","International Relations","ECOWAS, the Economic Community of West African States, was established mainly to promote","Political conflict among West African nations","Regional economic integration and cooperation among West African countries","The isolation of West African countries from the rest of the world","A single currency used only outside West Africa","B","ECOWAS was established to foster economic integration and cooperation among West African states, promoting trade, free movement, and collective development within the region","","Medium","Practice","ecowas","published","",""
"103","Government","International Relations","The Commonwealth of Nations is an international association made up mainly of","Countries that were never part of the British Empire","Countries that were historically part of the British Empire, now cooperating voluntarily on shared goals","Only European Union member states","Nations with no historical ties to Britain at all","B","The Commonwealth is a voluntary association of countries, most of which were formerly part of the British Empire, cooperating on shared values and goals such as democracy and development","","Medium","Practice","commonwealth","published","",""
"104","Government","Public Corporations","A public corporation is best described as an organization","Owned and controlled entirely by private individuals for profit only","Established and owned by the government to provide essential goods or services to the public","That has no legal status whatsoever","Exclusively responsible for making laws","B","A public corporation is a government-owned enterprise established to provide essential services or goods, such as electricity or water, to the public","","Medium","Practice","public-corporation-definition","published","",""
"105","Government","Public Corporations","One common reason governments establish public corporations is to","Ensure the provision of essential services that may not be adequately supplied by private enterprises alone","Prevent any citizen from accessing basic services","Generate profit exclusively for private shareholders","Eliminate the need for any government oversight of key industries","A","Public corporations are often established to guarantee the provision of essential services, such as utilities, which private companies might underprovide due to high costs or low profitability","","Medium","Practice","public-corporation-rationale","published","",""
"106","Government","Public Corporations","A frequent criticism directed at public corporations is that they often suffer from","Excessive competition from too many private firms","Inefficiency, bureaucratic bottlenecks, and mismanagement due to limited accountability","Complete absence of any government funding","Total freedom from any political interference","B","Public corporations are often criticized for inefficiency and mismanagement, partly because limited competition and accountability can weaken incentives for effective performance","","Medium","Practice","public-corporation-criticism","published","",""
"107","Government","Public Corporations","Privatization, as applied to public corporations, refers to the process of","Government acquiring more private companies","Transferring ownership or management of a government-owned enterprise to private individuals or companies","Increasing the number of public corporations","Nationalizing all private companies in a sector","B","Privatization involves transferring the ownership, management, or control of a previously government-owned enterprise to private individuals or companies","","Medium","Practice","privatization","published","",""
"108","Government","Political Culture","Political culture refers to the","Physical structure of government buildings","Shared attitudes, beliefs, values, and orientations that a population holds toward its political system"," ""Total absence of any political beliefs among citizens""","Official name of a country's ruling political party","B","Political culture describes the collective attitudes, beliefs, and values that members of a society hold regarding their political system and its institutions","","Medium","Practice","political-culture-definition","published","",""
"109","Government","Political Culture","Political socialization refers to the process by which individuals","Are formally elected into political office","Acquire their political values, beliefs, and attitudes over time, often starting in childhood","Are legally barred from participating in politics","Lose all interest in political matters permanently","B","Political socialization is the process through which individuals develop their political beliefs, values, and attitudes over their lifetime, often beginning with early influences in childhood","","Medium","Practice","political-socialization","published","",""
"110","Government","Political Culture","The family is generally considered a significant agent of political socialization mainly because it","Has no influence on a child's political beliefs at all","Often provides a child's earliest exposure to political attitudes and values through parental views and discussions","Legally determines which political party a child must support for life","Is the only agent of political socialization that exists","B","The family is often the earliest and one of the most influential agents of political socialization, as children are frequently exposed to their parents' political attitudes and discussions from a young age","","Medium","Practice","family-political-socialization","published","",""
"111","Government","Political Culture","The mass media contributes to political socialization mainly by","Having no effect on public political awareness","Informing citizens about political events, issues, and government activities, thereby shaping public opinion and awareness","Preventing citizens from learning about government policies","Serving only an entertainment function with no political content","B","Mass media plays a significant role in political socialization by keeping citizens informed about political events and government activities, which helps shape public awareness and opinion","","Medium","Practice","media-political-socialization","published","",""
"112","Government","Political Culture","Schools serve as an important agent of political socialization mainly by","Refusing to discuss any topics related to government or citizenship","Teaching civic education and instilling values such as patriotism, respect for law, and civic responsibility","Focusing exclusively on subjects unrelated to society or government","Preventing students from ever learning about their country's history","B","Schools contribute to political socialization by teaching civic education, history, and values such as patriotism and civic responsibility, shaping students' understanding of their political system","","Medium","Practice","school-political-socialization","published","",""
